customer_id,churn_probability,customer_lifetime_value,assigned_action,assigned_cost,expected_value_saved
100000,0.3937138419040243,8847.796480331263,email_nudge,20,174.17499723280628
100002,0.5277097789092838,19861.085491606715,discount_offer,250,1886.5600260613492
100004,0.5999727837393166,7244.253648648648,email_nudge,20,217.31775138467157
100005,0.4072804310556883,9050.909620253164,email_nudge,20,184.3129185791392
100006,0.4619856523818482,7403.456557377051,email_nudge,20,171.01453537702545
100009,0.7274174027234362,682.108280254777,none,0,0.0
100010,0.641641694100282,8590.788718510405,discount_offer,250,992.1974808604692
100011,0.7632709520695573,6051.655122950819,email_nudge,20,230.9526283645643
100012,0.3914144261100712,9858.82712305026,email_nudge,20,192.9443580243561
100015,0.6249284456499758,10117.829723127035,discount_offer,250,1138.1255284004826
100016,0.426821058054777,4199.726934523809,email_nudge,20,89.62659468672987
100018,0.7247224832971859,13297.318796433878,discount_offer,250,1734.6358618822633
100019,0.3736417603689853,4821.146551724139,email_nudge,20,90.06908422915352
100020,0.7079703160443833,10062.382795698926,discount_offer,250,1282.2962990454962
100023,0.3776822410755828,13710.597744945568,discount_offer,250,932.0848709034371
100024,0.6038662397492829,5982.671383647798,email_nudge,20,180.63666360495176
100025,0.4940382302119402,7309.327777777778,email_nudge,20,180.55436796861537
100026,0.5940703237676602,23807.82210300429,discount_offer,250,2545.833705288231
100027,0.7014214951020423,7621.5052264808355,discount_offer,250,962.2597663595192
100031,0.7810679830413353,10307.749772036474,discount_offer,250,1449.1895983450763
100032,0.6771736788272363,4629.229135338345,email_nudge,20,156.73960618556467
100033,0.4758043421142535,7084.094238683128,email_nudge,20,168.5321399356
100037,0.7478541107877723,17803.299591836734,discount_offer,250,2396.5687413614464
100039,0.6922843859471434,2077.9081651376146,email_nudge,20,71.92516890784245
100040,0.3534318596113867,9541.392557251907,email_nudge,20,168.6116057395893
100041,0.3995734508144323,54782.36626506024,personal_outreach,900,7661.352696308591
100042,0.66020600044328,1847.336752136752,email_nudge,20,60.98114043000421
100043,0.838685992791961,4337.738918918919,email_nudge,20,181.9000435842921
100044,0.6499350538481871,7506.118995290423,email_nudge,20,243.92449266974907
100048,0.8184632207586487,7781.764971209213,discount_offer,250,1146.4359158740906
100049,0.6853822887751604,2475.294186046512,email_nudge,20,84.82613973122031
100053,0.367808222166019,8181.528155339806,email_nudge,20,150.46166627083815
100054,0.7476786455951782,7326.850652985075,discount_offer,250,986.0633590863648
100055,0.6849641391434566,14852.319801980197,discount_offer,250,1831.195160540402
100057,0.502887583558856,4086.559210526316,email_nudge,20,102.75399432258828
100060,0.7462869509255932,7425.419179600887,discount_offer,250,997.4688189999775
100061,0.8276028014255352,4084.034818941504,email_nudge,20,168.99793286377087
100062,0.8159678959196479,8192.89874041621,discount_offer,250,1203.325622406027
100064,0.7018222819316061,6227.243529411765,email_nudge,20,218.5209131977797
100065,0.5203303203039333,13703.39478330658,discount_offer,250,1283.4525234328491
100067,0.8480693166633935,1814.6345995893223,email_nudge,20,76.94679624337336
100068,0.6677858667034543,16712.79430449069,discount_offer,250,2008.9022093389565
100069,0.4103747564199232,9927.35588235294,email_nudge,20,203.696812605724
100072,0.369345931282219,16031.887626262627,discount_offer,250,1065.8362437960934
100073,0.8685122904952496,1007.291109785203,none,0,0.0
100076,0.4331928596495465,21349.43605633803,discount_offer,250,1664.716186287037
100077,0.5055061874704672,15439.744497607657,discount_offer,250,1404.8795477706783
100078,0.618816614539089,4711.08407079646,email_nudge,20,145.76485477496476
100079,0.4081530571714726,15377.74674796748,discount_offer,250,1129.7653825664877
