customer_id,segment,churn_probability,predicted_churn,churned,customer_lifetime_value,total_orders,total_spend,average_order_value,purchase_frequency,days_since_last_purchase,return_rate,discount_usage_rate,avg_review_rating,site_visits_last_90d,customer_tenure_days,favorite_category,region,acquisition_channel,age
100000,Watchlist (Medium Risk),0.3937138419040243,0,0,8847.796480331263,10.0,11708.18,1170.818,0.6681514476614699,2.0,0.2,0.1,3.3833333333333333,19.0,483,Sports & Outdoors,North,Paid Ads,45
100001,Low Risk (Healthy),0.142393458728159,0,0,24804.866248153616,46.0,46007.93,1000.1723913043478,2.2366288492706645,36.0,0.0434782608695652,0.2826086956521739,4.076190476190476,23.0,677,Toys & Games,South,Referral,24
100002,Watchlist (Medium Risk),0.5277097789092838,1,0,19861.085491606715,9.0,22690.61,2521.178888888889,0.7068062827225131,25.0,0.2222222222222222,0.5555555555555556,3.0,15.0,417,Electronics,Central,Paid Ads,23
100003,Low Risk (Healthy),0.2512673864325536,0,0,22604.72847411444,10.0,22728.59,2272.859,0.9433962264150944,40.0,0.1,0.6,4.185714285714286,27.0,367,Home & Kitchen,Central,Email,30
100004,Watchlist (Medium Risk),0.5999727837393166,1,1,7244.253648648648,10.0,14686.98,1468.698,0.4424778761061946,4.0,0.0,0.2,4.06,10.0,740,Toys & Games,South,Paid Ads,42
100005,Watchlist (Medium Risk),0.4072804310556883,0,0,9050.909620253164,15.0,9794.82,652.9879999999999,1.2820512820512822,11.0,0.1333333333333333,0.5333333333333333,3.78,12.0,395,Grocery,Central,Referral,25
100006,Watchlist (Medium Risk),0.4619856523818482,0,0,7403.456557377051,10.0,11135.61,1113.561,0.6741573033707865,48.0,0.1,0.2,3.9375,16.0,549,Home & Kitchen,South,Direct,32
100007,Low Risk (Healthy),0.2835179827438535,0,0,10478.35402750491,13.0,14612.28,1124.0215384615385,0.8423326133909287,35.0,0.0,0.4615384615384615,4.290909090909091,21.0,509,Grocery,North,Referral,33
100008,Low Risk (Healthy),0.1904077022268196,0,0,21402.919324324324,33.0,43392.22,1314.9157575757577,1.4102564102564104,6.0,0.0909090909090909,0.3333333333333333,3.9333333333333336,37.0,740,Home & Kitchen,South,Direct,23
100009,High Risk / Low-Med Value,0.7274174027234362,1,0,682.108280254777,1.0,586.8,586.8,30.0,281.0,0.0,0.0,3.5,7.0,314,Fashion,East,Email,18
