customer_id,total_orders,total_spend,average_order_value,first_purchase,last_purchase,total_returns,avg_discount_pct,discount_orders,distinct_categories,days_since_last_purchase,customer_span_days,purchase_frequency,return_rate,discount_usage_rate,favorite_category,avg_review_rating,n_reviews,site_visits_last_90d,avg_pages_per_visit,signup_date,region,acquisition_channel,age,primary_category,customer_tenure_days,customer_lifetime_value,will_purchase_next_60d,churned,churn_probability,predicted_churn,is_test_set,value_none,value_email_nudge,value_discount_offer,value_personal_outreach,assigned_action,assigned_cost,expected_value_saved
100000,10.0,11708.18,1170.818,2024-04-07,2025-06-30,2.0,2.5,1.0,5.0,2.0,449.0,0.6681514476614699,0.2,0.1,Sports & Outdoors,3.3833333333333333,6.0,19.0,4.0,2024-03-06,North,Paid Ads,45,Sports & Outdoors,483,8847.796480331263,1,0,0.3937138419040243,0,0,0.0,174.17499723280628,627.0299900381025,1219.2249806296438,email_nudge,20,174.17499723280628
100002,9.0,22690.61,2521.178888888889,2024-05-21,2025-06-07,2.0,7.777777777777778,5.0,3.0,25.0,382.0,0.7068062827225131,0.2222222222222222,0.5555555555555556,Electronics,3.0,2.0,15.0,5.666666666666667,2024-05-11,Central,Paid Ads,23,Electronics,417,19861.085491606715,1,0,0.5277097789092838,1,0,0.0,524.0444516837082,1886.5600260613494,3668.3111617859577,discount_offer,250,1886.5600260613494
100004,10.0,14686.98,1468.698,2023-08-20,2025-06-28,0.0,4.0,2.0,4.0,4.0,678.0,0.4424778761061946,0.0,0.2,Toys & Games,4.06,5.0,10.0,6.666666666666667,2023-06-23,South,Paid Ads,42,Toys & Games,740,7244.253648648648,0,1,0.5999727837393166,1,0,0.0,217.31775138467154,782.3439049848174,1521.2242596927006,email_nudge,20,217.31775138467154
100005,15.0,9794.82,652.9879999999999,2024-07-05,2025-06-21,2.0,7.333333333333333,8.0,5.0,11.0,351.0,1.2820512820512822,0.1333333333333333,0.5333333333333333,Grocery,3.78,10.0,12.0,6.0,2024-06-02,Central,Referral,25,Grocery,395,9050.909620253164,1,0,0.4072804310556883,0,1,0.0,184.31291857913922,663.5265068849012,1290.1904300539743,email_nudge,20,184.31291857913922
100006,10.0,11135.61,1113.561,2024-02-25,2025-05-15,1.0,3.0,2.0,5.0,48.0,445.0,0.6741573033707865,0.1,0.2,Home & Kitchen,3.9375,8.0,16.0,4.666666666666667,2023-12-31,South,Direct,32,Home & Kitchen,549,7403.456557377051,1,0,0.4619856523818482,0,0,0.0,171.01453537702545,615.6523273572915,1197.1017476391778,email_nudge,20,171.01453537702545
100009,1.0,586.8,586.8,2024-09-24,2024-09-24,0.0,0.0,0.0,1.0,281.0,1.0,30.0,0.0,0.0,Fashion,3.5,1.0,7.0,3.6666666666666665,2024-08-22,East,Email,18,Fashion,314,682.108280254777,1,0,0.7274174027234362,1,0,0.0,24.808871679953985,89.31193804783433,173.66210175967788,none,0,0.0
100010,26.0,21488.74,826.4899999999999,2023-01-18,2025-05-29,3.0,3.8461538461538463,10.0,6.0,34.0,862.0,0.9048723897911832,0.1153846153846153,0.3846153846153846,Beauty & Personal Care,4.085714285714286,14.0,10.0,3.333333333333333,2023-01-01,North,Social Media,23,Beauty & Personal Care,913,8590.788718510405,0,1,0.641641694100282,1,0,0.0,275.6104113501304,992.1974808604692,1929.2728794509123,discount_offer,250,992.1974808604692
100011,4.0,4045.49,1011.3725,2024-12-25,2025-03-04,1.0,13.75,3.0,3.0,120.0,69.0,1.7391304347826089,0.25,0.75,Fashion,3.1,1.0,10.0,5.0,2024-10-31,North,Paid Ads,37,Fashion,244,6051.655122950819,0,1,0.7632709520695573,1,1,0.0,230.9526283645643,831.4294621124313,1616.6683985519496,email_nudge,20,230.9526283645643
100012,28.0,15585.05,556.6089285714286,2024-01-05,2025-06-15,1.0,8.392857142857142,17.0,7.0,17.0,527.0,1.5939278937381405,0.0357142857142857,0.6071428571428571,Books,4.265,20.0,10.0,5.333333333333333,2023-12-03,West,Paid Ads,40,Books,577,9858.82712305026,1,0,0.3914144261100712,0,1,0.0,192.94435802435612,694.5996888876819,1350.6105061704925,email_nudge,20,192.94435802435612
100015,15.0,17020.13,1134.6753333333334,2023-11-21,2025-04-18,1.0,7.333333333333333,9.0,5.0,75.0,514.0,0.8754863813229572,0.0666666666666666,0.6,Sports & Outdoors,4.077777777777778,9.0,7.0,4.333333333333333,2023-10-27,Central,Direct,28,Sports & Outdoors,614,10117.829723127035,1,0,0.6249284456499758,1,0,0.0,316.1459801112452,1138.1255284004826,2213.021860778716,discount_offer,250,1138.1255284004826
