order_id,customer_id,review_date,rating
ORD1000000001,100000,2024-04-07,3.5
ORD1000000004,100000,2024-09-27,1.2
ORD1000000005,100000,2024-10-06,2.6
ORD1000000006,100000,2024-11-10,5.0
ORD1000000007,100000,2024-12-16,4.8
ORD1000000008,100000,2024-12-29,3.2
ORD1000000011,100000,2025-07-29,4.8
ORD1000010002,100001,2023-09-22,5.0
ORD1000010003,100001,2023-09-24,4.4
ORD1000010004,100001,2023-09-25,4.1
ORD1000010006,100001,2023-10-30,4.8
ORD1000010009,100001,2023-11-25,5.0
ORD1000010010,100001,2023-12-05,3.8
ORD1000010013,100001,2024-01-24,4.8
ORD1000010014,100001,2024-01-30,5.0
ORD1000010016,100001,2024-03-04,3.7
ORD1000010017,100001,2024-03-16,4.1
ORD1000010020,100001,2024-04-19,2.9
ORD1000010027,100001,2024-07-17,3.3
ORD1000010029,100001,2024-07-22,3.1
ORD1000010030,100001,2024-07-24,5.0
ORD1000010031,100001,2024-07-31,3.5
ORD1000010038,100001,2025-01-16,5.0
ORD1000010041,100001,2025-01-30,3.9
ORD1000010043,100001,2025-02-09,3.3
ORD1000010044,100001,2025-03-25,4.0
ORD1000010045,100001,2025-05-18,4.0
ORD1000010046,100001,2025-05-27,2.9
ORD1000010047,100001,2025-07-03,4.7
ORD1000010048,100001,2025-07-17,5.0
ORD1000010049,100001,2025-07-23,3.0
ORD1000010050,100001,2025-07-30,4.7
ORD1000020002,100002,2024-05-27,2.7
ORD1000020004,100002,2024-09-14,3.3
ORD1000020010,100002,2025-08-07,1.0
ORD1000030002,100003,2024-07-14,3.7
ORD1000030003,100003,2024-10-10,4.9
ORD1000030004,100003,2024-11-15,5.0
ORD1000030005,100003,2025-03-02,2.7
ORD1000030007,100003,2025-04-09,4.2
ORD1000030008,100003,2025-05-08,5.0
ORD1000030010,100003,2025-05-23,3.8
ORD1000030011,100003,2025-07-19,4.2
ORD1000030012,100003,2025-08-09,5.0
ORD1000030013,100003,2025-08-18,4.6
ORD1000040002,100004,2023-09-06,3.2
ORD1000040003,100004,2023-09-13,3.9
ORD1000040005,100004,2024-10-14,4.1
ORD1000040007,100004,2024-11-06,4.1
ORD1000040008,100004,2024-11-10,5.0
ORD1000050001,100005,2024-07-05,2.7
ORD1000050003,100005,2024-08-22,4.7
ORD1000050005,100005,2024-09-10,4.8
ORD1000050007,100005,2024-12-01,5.0
ORD1000050010,100005,2025-01-15,4.8
ORD1000050011,100005,2025-03-10,2.5
ORD1000050012,100005,2025-03-20,4.4
ORD1000050013,100005,2025-04-26,4.1
ORD1000050014,100005,2025-05-04,2.2
ORD1000050015,100005,2025-06-21,2.6
ORD1000060001,100006,2024-02-25,3.9
ORD1000060002,100006,2024-06-16,3.7
ORD1000060004,100006,2024-12-24,3.8
ORD1000060006,100006,2025-02-22,3.2
ORD1000060007,100006,2025-03-16,3.5
ORD1000060008,100006,2025-04-02,5.0
ORD1000060009,100006,2025-04-12,3.5
ORD1000060010,100006,2025-05-15,4.9
ORD1000070001,100007,2024-02-20,5.0
ORD1000070002,100007,2024-03-12,3.1
ORD1000070003,100007,2024-04-04,5.0
ORD1000070004,100007,2024-04-09,3.7
ORD1000070005,100007,2024-04-18,3.9
ORD1000070006,100007,2024-06-05,3.0
ORD1000070007,100007,2024-07-07,3.9
ORD1000070009,100007,2024-07-31,5.0
ORD1000070011,100007,2025-05-13,5.0
ORD1000070012,100007,2025-05-24,5.0
ORD1000070013,100007,2025-05-28,4.6
ORD1000070014,100007,2025-07-30,5.0
ORD1000080001,100008,2023-07-25,3.7
ORD1000080002,100008,2023-08-12,3.4
ORD1000080005,100008,2023-10-24,3.6
ORD1000080008,100008,2023-12-17,3.9
ORD1000080010,100008,2024-01-29,4.0
ORD1000080011,100008,2024-02-15,3.1
ORD1000080012,100008,2024-02-26,4.5
ORD1000080013,100008,2024-03-14,4.2
ORD1000080014,100008,2024-04-25,4.3
ORD1000080022,100008,2024-12-06,3.3
ORD1000080023,100008,2025-01-01,4.2
ORD1000080027,100008,2025-02-06,5.0
ORD1000090001,100009,2024-09-24,3.5
ORD1000100001,100010,2023-01-18,4.5
ORD1000100002,100010,2023-03-25,5.0
ORD1000100007,100010,2023-07-06,3.4
ORD1000100008,100010,2023-08-25,4.2
ORD1000100009,100010,2023-08-26,5.0
ORD1000100010,100010,2023-10-24,4.0
ORD1000100011,100010,2023-11-12,4.7
ORD1000100012,100010,2023-12-15,2.6
ORD1000100016,100010,2024-03-02,4.6
ORD1000100019,100010,2024-05-20,3.4
ORD1000100020,100010,2024-06-15,5.0
ORD1000100022,100010,2024-07-26,4.6
ORD1000100023,100010,2024-07-28,4.3
ORD1000100026,100010,2025-05-29,1.9
ORD1000110002,100011,2024-12-29,3.1
ORD1000120001,100012,2024-01-05,5.0
ORD1000120002,100012,2024-01-16,3.0
ORD1000120003,100012,2024-01-23,2.5
ORD1000120004,100012,2024-02-19,3.9
ORD1000120005,100012,2024-03-03,4.8
ORD1000120006,100012,2024-03-18,5.0
ORD1000120007,100012,2024-05-09,4.8
ORD1000120009,100012,2024-05-22,5.0
ORD1000120010,100012,2024-06-16,4.3
ORD1000120011,100012,2024-06-23,4.3
ORD1000120012,100012,2024-07-07,2.5
ORD1000120013,100012,2024-07-14,4.7
ORD1000120016,100012,2024-09-09,4.2
ORD1000120020,100012,2025-03-27,3.8
ORD1000120021,100012,2025-05-02,4.5
ORD1000120022,100012,2025-05-03,3.5
ORD1000120023,100012,2025-05-18,5.0
ORD1000120024,100012,2025-05-21,5.0
ORD1000120025,100012,2025-05-22,5.0
ORD1000120027,100012,2025-06-06,4.5
ORD1000120029,100012,2025-07-07,3.2
ORD1000120030,100012,2025-07-12,5.0
ORD1000130001,100013,2024-01-25,3.0
ORD1000130002,100013,2024-02-01,4.2
ORD1000130003,100013,2024-02-21,5.0
ORD1000130005,100013,2024-04-20,3.6
ORD1000130006,100013,2024-05-01,3.5
ORD1000130009,100013,2024-07-04,5.0
ORD1000130010,100013,2024-07-21,3.8
ORD1000130011,100013,2024-07-24,3.6
ORD1000130013,100013,2024-10-04,3.6
ORD1000130015,100013,2024-11-18,4.2
ORD1000130016,100013,2024-11-20,5.0
ORD1000130019,100013,2025-01-05,3.7
ORD1000130020,100013,2025-01-21,5.0
ORD1000130021,100013,2025-02-10,4.6
ORD1000130022,100013,2025-02-18,4.9
ORD1000130024,100013,2025-03-03,4.0
ORD1000130025,100013,2025-03-19,4.6
